idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,goal,4.7286,2.9575152988433837,142,4.143963590946416,4.54
1,dyn_collision,nan,-0.07284040594100955,54,3.8061346469447015,1.66
2,timeout,nan,5.331368442535401,300,1.9971202726382762,9.08
3,goal,6.759900000000001,3.5623935890197753,203,3.3070301123541492,6.15
4,goal,6.0939000000000005,5.917898418426513,183,3.3656670484702036,5.55
5,timeout,nan,2.297260679244995,300,2.053546995626142,9.08
6,goal,9.823500000000001,0.14238068389892578,295,2.642538995548325,8.93
7,goal,6.1938,3.0506315746307373,186,3.181158341943056,5.63
8,timeout,nan,2.1796726360321044,300,2.117491919811194,9.08
9,timeout,nan,4.213631244659424,300,2.667632181784138,9.09
10,timeout,nan,2.733149345397949,300,2.331787750205646,9.08
11,goal,8.0586,2.760507995605469,242,3.1155839026636207,7.33
12,goal,5.1282000000000005,2.3103421936035153,154,4.029731323253121,4.66
13,static_collision,nan,inf,0,0.0,0.02
14,timeout,nan,1.8619799060821534,300,2.224246008855601,9.09
15,goal,7.659000000000001,2.392074546813965,230,3.172035156595318,6.96
16,goal,4.5288,2.1111935749053954,136,4.300920769017573,4.11
17,goal,6.7266,0.7724526605606079,202,3.1899493682650055,6.12
18,timeout,nan,2.559406030654907,300,3.0515533848914007,9.09
19,timeout,nan,2.224607669830322,300,2.4050410603545607,9.09
20,goal,4.7286,2.44526728439331,142,4.123481224015565,4.3
21,timeout,nan,1.3725996646881105,300,2.657232130514458,9.08
22,goal,4.8951,5.934856193542481,147,4.067385490819001,4.44
23,timeout,nan,3.085571157455444,300,2.086905969136084,9.09
24,timeout,nan,2.9949502792358396,300,2.5125567749266824,9.09
25,timeout,nan,8.574333068847658,300,1.9853646088577808,9.09
26,static_collision,nan,inf,0,0.0,0.02
27,timeout,nan,4.5179893493652346,300,2.3141598730813713,9.09
28,goal,7.825500000000001,1.4414930152893066,235,2.6984388024367867,7.12
29,timeout,nan,2.6839581851959227,300,2.582526250948819,9.08
30,goal,5.094900000000001,1.447274066925049,153,4.0279776295829635,4.63
31,goal,5.461200000000001,1.8203370838165285,164,3.8663344560191035,4.97
32,timeout,nan,0.7586673135757447,300,2.0915841877336305,9.09
33,static_collision,nan,inf,0,0.0,0.02
34,goal,4.7952,5.062813911437988,144,4.1505972896508565,4.36
35,goal,4.7286,2.544233516693115,142,4.2498985785649905,4.3
36,timeout,nan,0.46412848377227783,300,2.3724037661372375,9.08
37,timeout,nan,4.295273868560791,300,2.670451165214181,9.08
38,timeout,nan,1.404990795135498,300,2.417251520426944,9.09
39,goal,4.861800000000001,2.1797328166961667,146,4.1837301771475435,4.42
40,timeout,nan,2.405022247314453,300,2.5286010339328397,9.09
41,timeout,nan,8.126663612365723,300,2.25173207553414,9.08
42,goal,5.2614,4.92928014755249,158,3.980330633612562,4.78
