idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,timeout,nan,3.1412661666870116,300,2.1659628085047005,9.3
1,timeout,nan,0.9833842382431031,300,2.142958116705219,9.08
2,timeout,nan,7.4312901840209955,300,2.120145618816217,9.09
3,timeout,nan,5.834078720092774,300,2.168557085543871,9.08
4,timeout,nan,6.228015186309814,300,2.1449255152543385,9.09
5,timeout,nan,2.3467289581298827,300,2.1667960576713083,9.09
6,timeout,nan,4.256996311187744,300,2.1280084038029115,9.09
7,timeout,nan,3.842846889495849,300,2.1258183221022287,9.09
8,timeout,nan,4.287151969909668,300,2.1060600766787925,9.09
9,timeout,nan,4.335799308776855,300,2.115282617261012,9.09
10,timeout,nan,4.320176902770996,300,2.114248269746701,9.09
11,timeout,nan,4.912936622619629,300,2.1118431708961727,9.09
12,timeout,nan,3.0458515892028806,300,2.18128748357296,9.09
13,timeout,nan,3.344251136779785,300,2.157637579937776,9.09
14,timeout,nan,2.3151181411743162,300,2.1386451929807664,9.09
15,timeout,nan,2.489184341430664,300,2.145633462493618,9.09
16,timeout,nan,2.113460220336914,300,2.1256519780308007,9.08
17,timeout,nan,3.414704986572265,300,2.1577721794197955,9.09
18,timeout,nan,5.244030464172363,300,2.08017903568844,9.09
19,timeout,nan,2.2257210845947264,300,2.089347708374262,9.08
20,timeout,nan,4.737022483825683,300,2.1569895057131845,9.1
21,timeout,nan,3.317210260391235,300,2.1453493791570266,9.09
22,timeout,nan,5.92858292388916,300,2.1913713120669125,9.08
23,timeout,nan,6.32722626876831,300,2.1298830538243054,9.09
24,timeout,nan,3.6303005752563475,300,2.111730946029226,9.08
25,timeout,nan,8.63477313232422,300,2.174034294138352,9.09
26,timeout,nan,6.741323581695556,300,2.14455122590065,9.08
27,timeout,nan,5.475937557220459,300,2.1492700091252726,9.09
28,timeout,nan,3.4883284378051758,300,2.149988433967034,9.09
29,timeout,nan,2.6775938396453856,300,2.073811121781667,9.09
30,timeout,nan,1.4535852451324465,300,2.1632916060090066,9.08
31,timeout,nan,3.734065559387207,300,2.162592315201958,9.09
32,timeout,nan,0.5007037754058838,300,2.1343653764079016,9.09
33,timeout,nan,5.345814674377441,300,2.1119953415542843,9.09
34,timeout,nan,5.284056339263916,300,2.177934400861462,9.09
35,timeout,nan,3.4692010993957516,300,2.1490341757734615,9.09
