idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,goal,6.593400000000001,3.1242933864593505,198,3.0893587451240028,6.2
1,goal,6.5601,0.928244577407837,197,3.150831923115677,5.96
2,static_collision,nan,6.113426681518555,198,3.0839759556934085,6.02
3,goal,7.0596000000000005,4.875883979797363,212,2.937052903169731,6.43
4,static_collision,nan,6.231058837890624,269,2.4944417593536765,8.18
5,goal,7.1595,2.337769426345825,215,2.926106718043948,6.52
6,static_collision,nan,1.8696403198242189,200,3.0497243724018337,6.07
7,static_collision,nan,3.0474636745452877,170,3.4293654370833844,5.18
8,static_collision,nan,1.4870530738830567,211,2.9355928894326584,6.42
9,static_collision,nan,5.222204776763916,266,2.4434572035880913,8.09
10,static_collision,nan,3.2828300628662106,243,2.6154496998453336,7.39
11,static_collision,nan,2.1167434997558594,160,3.57162846326828,4.87
12,goal,7.1595,3.2435792694091794,215,2.911982321877812,6.52
13,goal,6.1272,3.379764060974121,184,3.277811518424879,5.57
14,static_collision,nan,2.2995260429382323,168,3.432672665942283,5.11
15,goal,6.327000000000001,2.4704358196258545,190,3.208204016481575,5.76
16,static_collision,nan,2.1116823329925536,158,3.6138628240250332,4.81
17,static_collision,nan,1.1582085218429565,225,2.791286810106701,6.85
18,static_collision,nan,4.295087802886963,159,3.5570400849265873,4.85
19,static_collision,nan,2.2252564067840575,150,3.7085859470566116,4.57
20,static_collision,nan,1.3688140754699707,186,3.187963497694782,5.66
21,static_collision,nan,0.15830129718780517,251,2.5317322142808085,7.64
22,timeout,nan,5.836177604675293,300,2.276297189419468,9.09
23,timeout,nan,1.307319628715515,300,2.290178511242072,9.09
24,static_collision,nan,2.6840415534973143,183,3.2544544626617693,5.57
25,goal,7.0596000000000005,8.630520698547365,212,2.930310025213743,6.43
26,timeout,nan,6.247405162811279,300,2.3268417001267276,9.09
27,static_collision,nan,4.2848255157470705,246,2.580662220534755,7.47
28,static_collision,nan,0.8034467506408691,174,3.3111535586930554,5.3
29,static_collision,nan,2.6779831771850584,136,3.8926482012166694,4.15
30,goal,6.959700000000001,1.453551389694214,209,2.9910495197088522,6.34
31,goal,6.0939000000000005,3.7932071952819824,183,3.3100783562725358,5.54
32,static_collision,nan,0.4053516025543213,269,2.47392674399796,8.17
33,static_collision,nan,4.4926199607849115,204,3.000882315723335,6.21
34,goal,7.725600000000001,5.127951774597168,232,2.746279830145168,7.03
35,static_collision,nan,1.3119584102630617,150,3.728544197479884,4.57
36,static_collision,nan,0.23182277774810794,196,3.0766278868731187,5.96
37,static_collision,nan,2.468778697967529,299,2.2647401578350608,9.09
38,static_collision,nan,1.3446022300720215,228,2.7394989812583255,6.93
39,static_collision,nan,3.1483395271301267,169,3.4478112725463843,5.15
40,static_collision,nan,2.0896043319702144,123,4.062739310952706,3.75
