idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,goal,6.660000000000001,3.122660696029663,200,2.9183459404855965,6.26
1,goal,6.859800000000001,0.36550615882873533,206,2.8424684681649346,6.24
2,timeout,nan,4.7627949676513675,300,1.8700888117651144,9.08
3,timeout,nan,3.954745597839355,300,0.12189416535509129,9.09
4,static_collision,nan,6.242272140502929,61,4.523206243016681,1.87
5,static_collision,nan,2.282220043182373,281,0.2528702489554458,8.54
6,goal,5.9274000000000004,1.6523770980834962,178,3.326326870767588,5.39
7,timeout,nan,3.8029001274108882,300,1.9958461426943541,9.1
8,static_collision,nan,1.7275945320129396,72,4.736818241783315,2.2
9,timeout,nan,4.321773620605469,300,2.101172744433085,9.09
10,static_collision,nan,4.535799583435058,10,1.0757926180958748,0.33
11,timeout,nan,2.6555969066619873,300,2.123193783781802,9.09
12,static_collision,nan,3.5946454315185545,52,4.0976377218388595,1.6
13,static_collision,nan,inf,0,0.0,0.03
14,static_collision,nan,1.5134202880859375,70,4.703607899376324,2.15
15,goal,7.0596000000000005,2.430710277557373,212,2.7516209232216737,6.43
16,goal,6.393600000000001,2.1143278255462645,192,3.024597827810794,5.81
17,goal,6.5601,0.5376619777679443,197,2.9703578142647817,5.97
18,timeout,nan,4.007875907897949,300,1.914989021855096,9.09
19,static_collision,nan,2.2245123023986815,41,3.8315991388588415,1.27
20,goal,6.393600000000001,2.2285686378479,192,3.0315640123250582,5.82
21,static_collision,nan,4.516781997680664,233,0.5454833890299429,7.08
22,timeout,nan,4.55173388671875,300,0.4714689739329818,9.09
23,static_collision,nan,7.5314808959960935,42,3.863064761672701,1.3
24,static_collision,nan,3.1409857807159423,57,4.257469666631598,1.76
25,static_collision,nan,8.634002563476564,56,4.421663311975343,1.72
26,static_collision,nan,inf,0,0.0,0.03
27,timeout,nan,2.370180320739746,300,1.2177518900571158,9.09
28,goal,6.260400000000001,1.264804344177246,188,3.123341570350718,5.7
29,timeout,nan,2.678369892120361,300,1.9368789341176549,9.09
30,static_collision,nan,1.4534746189117433,10,1.0874394655227662,0.33
31,static_collision,nan,1.3838677673339845,143,1.0658862951433066,4.36
32,goal,7.758900000000001,0.49239894104003906,233,2.569308318805285,7.06
33,static_collision,nan,inf,0,0.0,0.03
34,static_collision,nan,5.275565299987793,118,4.351840165459503,3.6
35,goal,8.424900000000001,1.022301685333252,253,2.328429076261082,7.67
36,timeout,nan,0.5533895387649537,300,1.9141447971574963,9.08
37,static_collision,nan,9.840699676513673,7,0.7965864049536842,0.24
38,static_collision,nan,1.9668787746429441,68,4.661021105725975,2.09
39,static_collision,nan,3.290967958450317,39,3.7142566446310434,1.21
40,timeout,nan,1.5905868549346924,300,2.0600172248513746,9.09
41,timeout,nan,8.332803176879883,300,1.9641095765214414,9.09
42,static_collision,nan,4.844545707702636,22,2.0693623152646152,0.68
43,timeout,nan,9.780281661987306,300,1.6754471374427278,9.09
