idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,timeout,nan,3.120111763000488,300,1.7644587216774623,9.26
1,goal,5.8608,0.3158844575881958,176,3.329648013480685,5.33
2,timeout,nan,4.568896766662598,300,2.0306018425400056,9.09
3,goal,5.994000000000001,3.566374225616455,180,3.422524498734209,5.46
4,goal,5.194800000000001,6.240957977294921,156,3.7887564488710503,4.72
5,timeout,nan,2.3476158752441405,300,1.8640188005380331,9.09
6,goal,6.060600000000001,1.8706292800903321,182,3.3176260878751567,5.51
7,goal,9.956700000000001,3.3016934909820557,299,1.9822378774986518,9.06
8,timeout,nan,1.4262942447662355,300,1.8103240383664767,9.09
9,timeout,nan,4.426510902404785,300,2.2234771408637366,9.09
10,timeout,nan,1.3761492404937745,300,2.452672879944245,9.08
11,timeout,nan,2.6926452465057373,300,2.2592678570747378,9.09
12,goal,5.727600000000001,4.095179965972901,172,3.457821864721387,5.21
13,static_collision,nan,inf,0,0.0,0.02
14,timeout,nan,2.2810538482666014,300,2.355368610372146,9.09
15,timeout,nan,2.4360873317718506,300,2.0925636766354243,9.09
16,goal,5.827500000000001,2.113824285507202,175,3.322413077780179,5.3
17,timeout,nan,0.3291161737442016,300,2.2993048967421057,9.09
18,timeout,nan,3.1436164264678954,300,2.400536510646343,9.09
19,timeout,nan,2.2252285118103026,300,2.094485320250193,9.09
20,goal,6.8931000000000004,2.864130104064941,207,2.854793600846028,6.26
21,timeout,nan,0.8231293592453004,300,2.197505990564823,9.12
22,goal,5.960700000000001,5.345909851074219,179,3.3061621171635625,5.43
23,timeout,nan,3.1420487041473386,300,2.0000421557823818,9.09
24,timeout,nan,2.3025651512145995,300,2.2041888053218526,9.09
25,timeout,nan,8.636286613464357,300,2.3150540928542616,9.09
26,static_collision,nan,inf,0,0.0,0.02
27,timeout,nan,3.0352062702178952,300,2.13151358316342,9.09
28,timeout,nan,1.068257908821106,300,1.7937667358169953,9.09
29,timeout,nan,2.6779641036987303,300,2.3856148847937586,9.09
30,timeout,nan,1.4535552043914797,300,1.9745736273440222,9.08
31,goal,7.0596000000000005,2.6440089015960693,212,2.8488345121578225,6.42
32,dyn_collision,nan,-0.13575903224945068,25,2.527339738722031,0.79
33,static_collision,nan,inf,0,0.0,0.03
34,goal,7.492500000000001,5.266936454772949,225,2.6667711567216448,6.82
35,timeout,nan,1.168734323501587,300,2.2531788431604705,9.08
36,dyn_collision,nan,-0.00491268491744995,288,2.324594833652866,8.76
37,timeout,nan,3.111486045837402,300,2.3739428876340387,9.09
38,timeout,nan,1.6399880676269531,300,2.3604378816485405,9.09
39,timeout,nan,2.7925083808898923,300,2.1312378491461277,9.1
40,timeout,nan,1.134145929336548,300,2.3085658444464205,9.08
41,timeout,nan,8.326473640441895,300,2.181375335852305,9.09
42,timeout,nan,3.4805902099609374,300,2.2836393171548846,9.09
43,timeout,nan,9.66126215362549,300,2.2322995443145435,9.09
44,goal,7.092900000000001,2.917048662185669,213,2.817745372583049,6.45
45,timeout,nan,3.0989822978973387,300,2.246720338364442,9.08
46,timeout,nan,12.376715034484864,300,2.2492368262199065,9.09
47,timeout,nan,8.937851264953615,300,2.000770914455255,9.09
48,dyn_collision,nan,-0.15645469331741335,69,4.640851425060204,2.12
49,timeout,nan,1.9217730693817139,300,2.406432021309932,9.09
50,goal,5.4945,1.5045350284576415,165,3.669923848907153,4.99
51,goal,5.9274000000000004,0.1811575040817261,178,3.3380573895037844,5.39
52,goal,5.7609,4.457895156860351,173,3.4048220162102254,5.24
53,dyn_collision,nan,-0.01443418788909917,77,4.753626237121912,2.36
54,timeout,nan,2.3934509563446045,300,2.195670378804207,9.09
55,timeout,nan,3.506569694519043,300,2.2714170747001967,9.08
56,static_collision,nan,inf,0,0.0,0.02
57,timeout,nan,3.935021289825439,300,2.0687473021944363,9.1
58,timeout,nan,1.1222970142364501,300,2.095121977441789,9.09
59,timeout,nan,3.889880546569824,300,2.337676074107488,9.09
60,goal,5.4279,4.357986419677734,163,3.5963713561464674,4.93
61,timeout,nan,11.154755264282228,300,2.283081041077773,9.09
62,timeout,nan,16.481125045776366,300,2.419847539116939,9.09
63,timeout,nan,1.765678560256958,300,2.2629037992159526,9.09
64,goal,5.2614,5.393776096343994,158,3.7559974064366726,4.79
65,goal,6.160500000000001,4.800627246856689,185,3.1934409022331236,5.6
66,static_collision,nan,inf,0,0.0,0.02
67,timeout,nan,5.268308090209961,300,1.9597552360702928,9.09
68,static_collision,nan,2.608215824127197,21,1.9769173775400435,0.66
69,static_collision,nan,inf,0,0.0,0.03
70,timeout,nan,3.3396348915100096,300,0.03424226487986744,9.09
71,timeout,nan,0.5139852533340454,300,2.31037754992644,9.09
72,timeout,nan,1.5105610027313232,300,2.278704402198394,9.09
73,timeout,nan,1.2500671939849854,300,2.390403830309709,9.09
74,goal,6.227100000000001,3.4103852767944334,187,3.378316923179091,5.66
75,timeout,nan,2.876863359451294,300,2.320722795774539,9.09
76,timeout,nan,1.4489262065887452,300,2.356435048083464,9.08
77,goal,5.7609,2.9074685382843017,173,3.427956129601925,5.24
78,timeout,nan,4.589881908416748,300,2.1681900627911093,9.09
79,timeout,nan,1.3689443798065186,300,1.7798833286079268,9.09
80,timeout,nan,1.3387752132415771,300,1.8358683161747953,9.09
81,dyn_collision,nan,-0.10829338502883917,47,4.040396820753813,1.45
82,timeout,nan,1.5719631462097168,300,2.3935487891733644,9.09
83,goal,5.6610000000000005,3.149596725463867,170,3.518672162907965,5.15
84,timeout,nan,3.1078485794067383,300,2.130609244654576,9.09
85,timeout,nan,2.6569858608245847,300,2.256290512730678,9.09
86,timeout,nan,10.20458856201172,300,2.3575008748968442,9.09
87,goal,6.493500000000001,0.8572252826690674,195,3.2236281511111136,5.9
88,timeout,nan,6.544449295043945,300,2.3021238546073435,9.09
89,timeout,nan,1.3500904064178467,300,2.351772389958302,9.09
90,timeout,nan,4.6448948860168455,300,2.0726446890830994,9.09
91,timeout,nan,3.4352680625915526,300,2.2940587353209656,9.09
92,timeout,nan,2.208314483642578,300,2.371936537524064,9.09
93,timeout,nan,4.853837299346924,300,2.5781255357464157,9.09
94,timeout,nan,0.44275831890106204,300,2.222613884359598,9.09
95,timeout,nan,0.9517268848419189,300,2.398454135209322,9.09
96,timeout,nan,0.44902910614013675,300,2.0985320000350476,9.1
97,timeout,nan,1.1097682847976684,300,2.205339306741953,9.08
98,timeout,nan,2.0476531085968017,300,2.267000768482685,9.09
99,goal,5.561100000000001,7.524938499450683,167,3.5449631997568165,5.06
