idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,timeout,nan,3.10759907913208,300,2.8795437804361184,9.27
1,goal,7.5924000000000005,1.1926375494003296,228,3.2237007232350217,6.91
2,timeout,nan,5.448761936187744,300,2.8816363074382148,9.09
3,timeout,nan,3.6383384895324706,300,2.8740859133998553,9.08
4,goal,8.3916,6.234490634918212,252,3.0832919120078994,7.63
5,timeout,nan,0.690884027481079,300,2.9143914971748988,9.09
6,goal,7.8588000000000005,2.439885585784912,236,3.1671598095257405,7.15
7,timeout,nan,3.8572116088867183,300,2.8521669936180114,9.08
8,goal,5.2281,1.121428288459778,157,3.8501096893647673,4.76
9,goal,7.9587,4.5665851554870605,239,3.0605612130344664,7.24
10,goal,5.1282000000000005,4.626049121856689,154,3.885066684190329,4.66
11,goal,5.2281,2.112042839050293,157,3.8507151784031253,4.75
12,timeout,nan,0.31625163650512694,300,2.88441755036513,9.09
13,timeout,nan,3.233556728363037,300,2.8795724617441496,9.08
14,goal,7.625700000000001,1.558826629638672,229,3.23412458514022,6.94
15,timeout,nan,2.381604633331299,300,2.852631754030784,9.09
16,timeout,nan,2.1135720386505126,300,2.8696852295100688,9.09
17,goal,8.5248,1.3443352661132812,256,3.086287980142515,7.75
18,goal,4.8951,4.548012245178223,147,3.986320282326264,4.45
19,goal,4.928400000000001,2.223081314086914,148,3.9745081257377124,4.49
20,goal,7.992000000000001,2.397783601760864,240,3.0800179756556947,7.27
21,dyn_collision,nan,-0.007836457729339608,55,4.426587462425232,1.69
22,timeout,nan,4.631910579681397,300,2.9267611944675447,9.09
23,goal,7.659000000000001,1.7409721488952636,230,3.206267015700755,6.97
24,goal,5.4279,1.672420078277588,163,3.775829202924038,4.93
25,timeout,nan,8.631531593322755,300,2.88811918258667,9.09
26,goal,8.3916,6.33142625427246,252,3.082353137551792,7.63
27,timeout,nan,2.946206760406494,300,2.8779287578165533,9.09
28,goal,8.2584,0.9715018081665039,248,3.12114401131628,7.51
29,goal,4.8951,2.1697815780639647,147,3.9954434185206487,4.45
30,goal,9.324000000000002,1.453558542251587,280,2.99063549722944,8.48
31,timeout,nan,4.321591403961182,300,2.8749518070121605,9.09
32,timeout,nan,0.1796849603652954,300,2.8474065567553044,9.08
33,goal,5.461200000000001,4.242963283538818,164,3.760605629351808,4.97
34,timeout,nan,5.235507164001465,300,2.9204933869838716,9.1
35,goal,7.559100000000001,0.3046101112365723,227,3.238445967173261,6.87
36,goal,7.659000000000001,1.3198992500305178,230,3.1410966511653817,6.96
37,goal,7.392600000000001,0.17835590076446534,222,3.223528478059683,6.73
38,goal,5.1282000000000005,1.3955973415374756,154,3.8891743856978107,4.66
39,goal,5.4279,3.1795404129028317,163,3.769266808416946,4.94
40,goal,4.861800000000001,1.2674953479766846,146,4.0240845857825995,4.42
41,goal,7.725600000000001,8.325118469238282,232,3.209968481855146,7.03
42,timeout,nan,4.71970115661621,300,2.9153903872768083,9.08
43,goal,5.194800000000001,10.017018913269045,156,3.8626864226773763,4.73
44,timeout,nan,1.4813909225463868,300,2.8678393059472245,9.09
45,timeout,nan,1.9360365505218506,300,2.8919482330977915,9.08
46,timeout,nan,12.378726333618165,300,2.866455873747667,9.09
