idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,timeout,nan,3.1221054191589355,300,1.7881794609874486,9.32
1,goal,5.894100000000001,0.33025150156021116,177,3.2846996769056482,5.35
2,timeout,nan,4.525513168334961,300,1.8638602132039765,9.09
3,static_collision,nan,4.711383743286133,77,2.696454992542019,2.36
4,goal,5.028300000000001,6.242285491943359,151,3.907114408268834,4.58
5,static_collision,nan,2.2874466552734374,49,1.705792922298519,1.51
6,goal,5.6610000000000005,1.7355706386566163,170,3.5057229216484465,5.15
7,timeout,nan,3.337399772644043,300,1.9265341683166723,9.09
8,timeout,nan,1.4564019813537599,300,1.9688309229568888,9.09
9,timeout,nan,4.483273597717285,300,2.387792781194051,9.09
10,static_collision,nan,4.667157253265381,16,1.6979002701118588,0.51
11,goal,5.6943,3.1295985527038575,171,3.5041295841597675,5.18
12,goal,7.992000000000001,2.716833473205566,240,2.5659558876728017,7.27
13,static_collision,nan,inf,0,0.0,0.03
14,goal,8.558100000000001,1.0664234800338745,257,2.326470505714755,7.79
15,goal,5.994000000000001,2.432893714904785,180,3.380528099172645,5.45
16,goal,5.827500000000001,2.113824285507202,175,3.3257769619567052,5.3
17,goal,5.4945,0.5925079069137573,165,3.5441543238632605,5.0
18,static_collision,nan,3.1958296184539794,188,3.470826767702052,5.72
19,timeout,nan,2.2252285118103026,300,2.5010057071348033,9.09
20,goal,6.1938,2.6448927764892574,186,3.1571789794070746,5.63
21,static_collision,nan,4.547840896606445,36,3.0687454007565975,1.11
22,goal,5.8608,5.928399341583252,176,3.451166197403588,5.34
23,timeout,nan,3.2034708137512204,300,1.7639385822353264,9.09
24,timeout,nan,3.2944192447662353,300,2.0835914913689098,9.09
25,timeout,nan,8.636286613464357,300,1.9271718396930253,9.08
26,static_collision,nan,inf,0,0.0,0.03
27,goal,6.393600000000001,3.005503129959106,192,3.2459661634638906,5.82
28,goal,6.3603000000000005,1.0351387071609497,191,3.1422049407871606,5.79
29,static_collision,nan,2.664012563705444,264,2.392314610099702,8.02
30,static_collision,nan,1.4536856193542482,23,2.375599860497143,0.72
31,goal,9.423900000000001,2.704406764984131,283,2.1413970744967883,8.57
32,timeout,nan,0.14753087711334228,300,1.9490544283079605,9.08
33,static_collision,nan,inf,0,0.0,0.03
34,goal,6.6267000000000005,5.277460250854492,199,3.128197835617928,6.03
35,goal,7.3260000000000005,0.9946888799667359,220,2.6848112680695273,6.66
36,timeout,nan,0.3397362723350525,300,1.9683461624543028,9.08
37,static_collision,nan,3.1536887569427487,247,2.734800838265824,7.51
38,timeout,nan,1.672627332687378,300,2.3919938433011705,9.09
39,goal,7.226100000000001,2.8152654342651364,217,2.8031758360547543,6.57
40,timeout,nan,1.123956992149353,300,2.3214515427754425,9.09
41,timeout,nan,8.325295852661133,300,1.9143911159473161,9.08
42,static_collision,nan,5.2814901924133295,30,1.2873454697226407,0.94
43,timeout,nan,9.71231424713135,300,1.706844819219162,9.08
44,goal,6.959700000000001,2.625530927658081,209,2.8604187932596252,6.33
45,timeout,nan,3.137040578842163,300,2.0083895683808564,9.09
46,timeout,nan,12.37648519897461,300,0.46731031510358056,9.09
47,static_collision,nan,8.959489181518556,49,3.855624054159437,1.51
48,static_collision,nan,0.001050699710845926,69,4.609009877711102,2.12
49,goal,5.960700000000001,1.8972877197265625,179,3.573228404425376,5.42
50,goal,5.561100000000001,0.804357180595398,167,3.7139823939093572,5.06
51,static_collision,nan,10.26603070831299,36,2.087034492029084,1.12
52,goal,5.4945,4.427695152282714,165,3.555633074948282,4.99
53,dyn_collision,nan,-0.05444285202026372,79,4.656034862808883,2.42
54,timeout,nan,2.4800643730163574,300,2.211393665016318,9.09
55,timeout,nan,2.674665283203125,300,1.9213363149327536,9.09
56,static_collision,nan,inf,0,0.0,0.02
57,goal,6.526800000000001,3.931809314727783,196,3.0233748430999148,5.94
58,timeout,nan,1.25943240070343,300,2.03541149618725,9.08
59,static_collision,nan,3.9503187026977535,3,0.39909616112709045,0.12
60,goal,5.4279,4.18418309020996,163,3.5844448091793644,4.94
61,goal,5.4279,11.154755264282228,163,3.6949197654526658,4.94
62,static_collision,nan,16.481125045776366,40,3.70294425599277,1.24
63,timeout,nan,1.7256318683624268,300,2.0753166759790234,9.08
64,goal,5.827500000000001,5.393776096343994,175,3.3787034275702066,5.3
65,goal,6.0939000000000005,4.800627246856689,183,3.235025897377827,5.54
66,static_collision,nan,inf,0,0.0,0.03
67,timeout,nan,4.99907152557373,300,1.9761783161417892,9.09
68,static_collision,nan,4.226714626312256,7,0.7682300082274846,0.23
69,static_collision,nan,inf,0,0.0,0.03
70,timeout,nan,3.339626308441162,300,0.03316232005134225,9.09
71,timeout,nan,0.38703725433349606,300,2.3866978812217714,9.09
72,timeout,nan,1.135028733253479,300,2.42400600726561,9.09
73,timeout,nan,1.898957450866699,300,2.6934017464518547,9.1
74,timeout,nan,3.460630561828613,300,1.814883695455889,9.08
75,static_collision,nan,3.4936281433105467,78,4.815954318222327,2.39
76,timeout,nan,1.396933313369751,300,2.3361234654827663,9.09
77,goal,5.727600000000001,2.9074685382843017,172,3.428793985829797,5.21
78,timeout,nan,4.9434218521118165,300,1.9186308049162228,9.09
